id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,liveness,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.00,0.05,0.80
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.02,0.06,0.48
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.00,0.08,0.62
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.01,0.04,0.33
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.00,0.12,0.71
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.03,0.02,0.29
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.06,0.14,0.44
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.00,0.09,0.57
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.01,0.05,0.36
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.00,0.07,0.52
11,Breakbeat Anthem,Street Pulse,hip hop,energetic,0.88,98,0.65,0.92,0.12,0.05,0.15,0.78
12,Quiet Sonata,Azure Quartet,classical,melancholic,0.18,60,0.12,0.10,0.96,0.94,0.03,0.28
13,Razorwire,Iron Echo,metal,aggressive,0.97,172,0.24,0.56,0.03,0.02,0.11,0.69
14,Wide Open Road,Maple Highway,country,nostalgic,0.58,98,0.74,0.66,0.39,0.21,0.07,0.46
15,Island Breeze,Reggae Roots,reggae,dreamy,0.47,74,0.81,0.72,0.52,0.33,0.12,0.55
16,Neon Arcade,Synth Cartel,electronic,playful,0.84,128,0.88,0.90,0.15,0.01,0.18,0.83
17,Backwoods Lullaby,Hearth Song,folk,romantic,0.35,72,0.85,0.45,0.82,0.60,0.02,0.39
18,Velvet Nights,Soul Ember,rnb,sultry,0.68,86,0.79,0.61,0.47,0.10,0.21,0.64
19,Delta River,Blue Harbor,blues,somber,0.29,68,0.22,0.38,0.71,0.58,0.06,0.31
20,Drumline Horizon,Global Drift,world,uplifting,0.73,110,0.93,0.84,0.28,0.45,0.09,0.58
21,City Pulse,Urban Echo,hip hop,energetic,0.89,105,0.78,0.85,0.14,0.06,0.20,0.76
22,Morning Bloom,Solar Bloom,pop,happy,0.68,112,0.85,0.77,0.24,0.00,0.16,0.72
23,Moonlit Drive,Starlight Roads,synthwave,moody,0.79,118,0.70,0.82,0.18,0.00,0.12,0.65
24,Afterglow,Velvet Skyline,electronic,dreamy,0.61,102,0.82,0.76,0.32,0.02,0.14,0.69
25,Roadhouse Blues,Coastal Fire,rock,nostalgic,0.65,106,0.60,0.70,0.22,0.00,0.18,0.58
26,Quiet Harbor,Soft Tides,jazz,relaxed,0.38,82,0.68,0.55,0.85,0.08,0.14,0.47
27,Frosted Pines,Winter Passage,folk,mellow,0.33,70,0.63,0.44,0.78,0.50,0.03,0.42
28,Thunder Road,Steel Anthem,rock,aggressive,0.94,160,0.42,0.69,0.07,0.01,0.11,0.70
29,Late Night Texts,Velvet Note,rnb,romantic,0.62,88,0.80,0.64,0.53,0.05,0.23,0.61
30,Sunset Samba,Tropical Drift,world,playful,0.72,118,0.86,0.82,0.38,0.35,0.17,0.66
31,Castle Walls,Highland Choir,classical,epic,0.28,60,0.45,0.20,0.92,0.85,0.05,0.43
32,Pixel Party,Game Groove,electronic,energetic,0.91,134,0.82,0.92,0.12,0.00,0.13,0.79
33,Ocean Whispers,Blue Dune,ambient,calm,0.22,64,0.58,0.33,0.94,0.44,0.04,0.35
34,Velvet Rose,Soul Garden,folk,romantic,0.42,74,0.88,0.51,0.80,0.55,0.06,0.49
35,Canyon Echoes,Desert Air,country,nostalgic,0.56,96,0.72,0.63,0.33,0.18,0.08,0.53
36,Subway Lights,Metro Beat,hip hop,energetic,0.85,100,0.76,0.89,0.19,0.07,0.19,0.74
37,Winter Solace,Arctic Sea,ambient,melancholic,0.24,58,0.30,0.28,0.90,0.40,0.05,0.34
38,Neon Dreams,Laser Tide,synthwave,playful,0.77,124,0.84,0.88,0.20,0.01,0.11,0.68
39,Harvest Moon,Golden Field,folk,relaxed,0.44,76,0.71,0.46,0.79,0.48,0.07,0.50
40,Midnight Pulse,City Lights,electronic,intense,0.92,138,0.73,0.89,0.16,0.00,0.22,0.81
